industry_skill,job_count,demand_percentage,gap_status,matched_curriculum_skill,colleges,courses
Linux,237,0.9829,present,Linux,"Nashik University, University of Mumbai, Savitribai Phule Pune University","MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100, Unknown"
Automation Testing,235,0.9746,confirmed_gap,,,
Telecalling,232,0.9621,confirmed_gap,,,
Ci/Cd,232,0.9621,confirmed_gap,,,
Engineering,226,0.9373,confirmed_gap,,,
Computer science,225,0.9331,confirmed_gap,,,
Customer service,223,0.9248,confirmed_gap,,,
Full Stack,223,0.9248,confirmed_gap,,,
Root Cause Analysis,222,0.9207,confirmed_gap,,,
International Voice Process,221,0.9165,confirmed_gap,,,
Channel Sales,220,0.9124,confirmed_gap,,,
Architecture,219,0.9082,confirmed_gap,,,
Angular,218,0.9041,confirmed_gap,,,
Financial Analysis,217,0.8999,confirmed_gap,,,
Customer Relationship,213,0.8833,confirmed_gap,,,
Hr Generalist Activities,210,0.8709,confirmed_gap,,,
Marathi,209,0.8668,confirmed_gap,,,
Hiring,209,0.8668,confirmed_gap,,,
Teaching,208,0.8626,confirmed_gap,,,
Design,207,0.8585,confirmed_gap,,,
Auditing,205,0.8502,confirmed_gap,,,
Inbound Process,205,0.8502,confirmed_gap,,,
Calling,204,0.846,confirmed_gap,,,
Cloud,204,0.846,confirmed_gap,,,
Accounts Receivable,204,0.846,confirmed_gap,,,
Hindi,203,0.8419,confirmed_gap,,,
Banking,203,0.8419,confirmed_gap,,,
Accounts Payable,202,0.8377,confirmed_gap,,,
Docker,202,0.8377,confirmed_gap,,,
Process,202,0.8377,confirmed_gap,,,
Service Operations,201,0.8336,confirmed_gap,,,
Artificial Intelligence,199,0.8253,confirmed_gap,,,
Debugging,198,0.8211,confirmed_gap,,,
Field Sales,197,0.817,confirmed_gap,,,
Content Management,195,0.8087,confirmed_gap,,,
Senior,195,0.8087,confirmed_gap,,,
Creative Writing,194,0.8045,confirmed_gap,,,
Quality Control,193,0.8004,confirmed_gap,,,
Negotiation,192,0.7963,confirmed_gap,,,
Power Bi,191,0.7921,confirmed_gap,,,
Machine Learning,188,0.7797,confirmed_gap,,,
Monitoring,187,0.7755,confirmed_gap,,,
Joining Formalities,187,0.7755,confirmed_gap,,,
Coding,186,0.7714,confirmed_gap,,,
Application Design,185,0.7672,confirmed_gap,,,
Aws,185,0.7672,confirmed_gap,,,
TDS,184,0.7631,confirmed_gap,,,
Sap Hana,184,0.7631,confirmed_gap,,,
Development Methodologies,184,0.7631,confirmed_gap,,,
Forecasting,184,0.7631,confirmed_gap,,,
Cold Calling,183,0.7589,confirmed_gap,,,
Healthcare,182,0.7548,confirmed_gap,,,
Hrsd,178,0.7382,confirmed_gap,,,
MS Office,177,0.734,confirmed_gap,,,
Sourcing,176,0.7299,confirmed_gap,,,
Html,173,0.7175,confirmed_gap,,,
Talent Acquisition,172,0.7133,confirmed_gap,,,
MIS,172,0.7133,confirmed_gap,,,
Insurance,171,0.7092,confirmed_gap,,,
HTML,168,0.6967,confirmed_gap,,,
Gst,167,0.6926,confirmed_gap,,,
Selenium,166,0.6884,confirmed_gap,,,
Tally,165,0.6843,confirmed_gap,,,
Billing,164,0.6801,confirmed_gap,,,
Software,164,0.6801,confirmed_gap,,,
Design Principles,162,0.6718,confirmed_gap,,,
Taxation,162,0.6718,confirmed_gap,,,
Life Insurance,161,0.6677,confirmed_gap,,,
Vendor Management,161,0.6677,confirmed_gap,,,
GCP,159,0.6594,confirmed_gap,,,
Manager Technology,157,0.6511,confirmed_gap,,,
Project,154,0.6387,confirmed_gap,,,
Data Modeling,154,0.6387,confirmed_gap,,,
Payroll,151,0.6262,confirmed_gap,,,
Business Process Outsourcing,151,0.6262,confirmed_gap,,,
B2C Sales,148,0.6138,confirmed_gap,,,
Backend,148,0.6138,confirmed_gap,,,
Inside Sales,147,0.6096,confirmed_gap,,,
Analytics,147,0.6096,confirmed_gap,,,
Reconciliation,147,0.6096,confirmed_gap,,,
Purchase,146,0.6055,confirmed_gap,,,
Sales And Marketing,146,0.6055,confirmed_gap,,,
Planning,146,0.6055,confirmed_gap,,,
ISO,145,0.6013,confirmed_gap,,,
Data Warehousing,144,0.5972,confirmed_gap,,,
Logistics,144,0.5972,confirmed_gap,,,
Leadership,143,0.593,confirmed_gap,,,
Retail Sales,143,0.593,confirmed_gap,,,
Azure,143,0.593,confirmed_gap,,,
Research,143,0.593,confirmed_gap,,,
Stakeholder Management,143,0.593,confirmed_gap,,,
Budgeting,143,0.593,confirmed_gap,,,
Node.js,142,0.5889,confirmed_gap,,,
Insurance Sales,142,0.5889,confirmed_gap,,,
Continuous improvement,141,0.5847,confirmed_gap,,,
Data analysis,140,0.5806,confirmed_gap,,,
Program Management,140,0.5806,confirmed_gap,,,
Investment Banking,140,0.5806,confirmed_gap,,,
Erp,139,0.5765,confirmed_gap,,,
Retail,139,0.5765,confirmed_gap,,,
Fabrication,138,0.5723,confirmed_gap,,,
Bpo Customer Service,138,0.5723,confirmed_gap,,,
Salesforce,138,0.5723,confirmed_gap,,,
Outbound Process,138,0.5723,confirmed_gap,,,
Data Analytics,138,0.5723,confirmed_gap,,,
Hospitality,137,0.5682,confirmed_gap,,,
Relationship Management,137,0.5682,confirmed_gap,,,
Communication skills,137,0.5682,confirmed_gap,,,
Client Acquisition,135,0.5599,confirmed_gap,,,
Technical,135,0.5599,confirmed_gap,,,
Analysis,134,0.5557,confirmed_gap,,,
Microsoft,133,0.5516,confirmed_gap,,,
Boot,133,0.5516,confirmed_gap,,,
Supply chain,133,0.5516,confirmed_gap,,,
It Services,133,0.5516,confirmed_gap,,,
Assistance,133,0.5516,confirmed_gap,,,
B2B,132,0.5474,confirmed_gap,,,
Technical Support,131,0.5433,confirmed_gap,,,
Hive,130,0.5391,confirmed_gap,,,
Data Management,130,0.5391,confirmed_gap,,,
Coordination,130,0.5391,confirmed_gap,,,
International BPO,129,0.535,confirmed_gap,,,
Tally ERP,129,0.535,confirmed_gap,,,
Supply Chain,129,0.535,confirmed_gap,,,
API,129,0.535,confirmed_gap,,,
Risk management,128,0.5308,confirmed_gap,,,
Bootstrap,128,0.5308,confirmed_gap,,,
Servicenow,128,0.5308,confirmed_gap,,,
Photoshop,128,0.5308,confirmed_gap,,,
Manual Testing,127,0.5267,confirmed_gap,,,
Quality,127,0.5267,confirmed_gap,,,
Corporate,127,0.5267,confirmed_gap,,,
Scrum,126,0.5225,confirmed_gap,,,
Voice,126,0.5225,confirmed_gap,,,
Pyspark,126,0.5225,confirmed_gap,,,
Direct Sales,126,0.5225,confirmed_gap,,,
Maintenance,125,0.5184,confirmed_gap,,,
MySQL,125,0.5184,confirmed_gap,,,
Pharmaceutical,124,0.5142,confirmed_gap,,,
Software testing,123,0.5101,confirmed_gap,,,
Dbms,122,0.506,confirmed_gap,,,
GIT,122,0.506,confirmed_gap,,,
Relationship management,122,0.506,confirmed_gap,,,
Usage,122,0.506,confirmed_gap,,,
Convincing Power,122,0.506,confirmed_gap,,,
Acquisition,121,0.5018,confirmed_gap,,,
Target Achievement,120,0.4977,confirmed_gap,,,
Data management,120,0.4977,confirmed_gap,,,
Jsp,120,0.4977,confirmed_gap,,,
Bpo Voice,119,0.4935,confirmed_gap,,,
Git,119,0.4935,confirmed_gap,,,
Handling,118,0.4894,confirmed_gap,,,
Postgresql,117,0.4852,confirmed_gap,,,
Performance Tuning,117,0.4852,confirmed_gap,,,
Cross Selling,116,0.4811,confirmed_gap,,,
Reporting,116,0.4811,confirmed_gap,,,
Inbound Calls,116,0.4811,confirmed_gap,,,
J2Ee,114,0.4728,confirmed_gap,,,
Presales,113,0.4686,confirmed_gap,,,
Kafka,113,0.4686,confirmed_gap,,,
Change management,113,0.4686,confirmed_gap,,,
Quality Assurance,113,0.4686,confirmed_gap,,,
Problem Solving,112,0.4645,confirmed_gap,,,
Construction,112,0.4645,confirmed_gap,,,
Customer Handling,112,0.4645,confirmed_gap,,,
Product management,111,0.4603,confirmed_gap,,,
Scheduling,110,0.4562,confirmed_gap,,,
Github,110,0.4562,confirmed_gap,,,
Net Core,109,0.452,confirmed_gap,,,
Unix,109,0.452,confirmed_gap,,,
Client Relationship Management,109,0.452,confirmed_gap,,,
Office,109,0.452,confirmed_gap,,,
End To End Recruitment,108,0.4479,confirmed_gap,,,
Snowflake,108,0.4479,confirmed_gap,,,
Cyber Security,107,0.4437,confirmed_gap,,,
Generation,107,0.4437,confirmed_gap,,,
Algorithms,107,0.4437,present,Algorithms,"Nashik University, University of Mumbai, Savitribai Phule Pune University","MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100, Unknown"
Inventory Management,107,0.4437,confirmed_gap,,,
Software Development Life Cycle,106,0.4396,confirmed_gap,,,
Inbound,106,0.4396,confirmed_gap,,,
Java Development,106,0.4396,confirmed_gap,,,
Fluent English,105,0.4354,confirmed_gap,,,
Natural Language Processing,105,0.4354,confirmed_gap,,,
International Call Center,105,0.4354,confirmed_gap,,,
ETL,104,0.4313,confirmed_gap,,,
Database Management,104,0.4313,confirmed_gap,,,
Technical Leadership,104,0.4313,confirmed_gap,,,
HR,103,0.4272,confirmed_gap,,,
Legal,103,0.4272,confirmed_gap,,,
Voice Support,103,0.4272,confirmed_gap,,,
Corporate Sales,102,0.423,confirmed_gap,,,
Advanced Excel,101,0.4189,confirmed_gap,,,
Focus,101,0.4189,confirmed_gap,,,
Solving Queries,100,0.4147,confirmed_gap,,,
Social media,100,0.4147,confirmed_gap,,,
Real Estate Sales,100,0.4147,confirmed_gap,,,
International Bpo,100,0.4147,confirmed_gap,,,
PyTorch,100,0.4147,confirmed_gap,,,
Sheet Metal,99,0.4106,confirmed_gap,,,
Mechanical,98,0.4064,confirmed_gap,,,
Data Engineering,98,0.4064,confirmed_gap,,,
Distribution,98,0.4064,confirmed_gap,,,
Counselling,98,0.4064,confirmed_gap,,,
Heavy Fabrication,98,0.4064,confirmed_gap,,,
Blended Process,98,0.4064,confirmed_gap,,,
Process improvement,98,0.4064,confirmed_gap,,,
CRM,97,0.4023,confirmed_gap,,,
Outbound,97,0.4023,confirmed_gap,,,
Assurance,97,0.4023,confirmed_gap,,,
Revenue Generation,96,0.3981,confirmed_gap,,,
Real Estate,96,0.3981,confirmed_gap,,,
Internal Audit,95,0.394,confirmed_gap,,,
Team management,94,0.3898,confirmed_gap,,,
Employee Relations,94,0.3898,confirmed_gap,,,
Management Skills,94,0.3898,confirmed_gap,,,
Sales Management,94,0.3898,confirmed_gap,,,
Stakeholder management,93,0.3857,confirmed_gap,,,
Financial services,93,0.3857,confirmed_gap,,,
Manager Quality Assurance,93,0.3857,confirmed_gap,,,
US Process,93,0.3857,confirmed_gap,,,
Interpersonal skills,93,0.3857,confirmed_gap,,,
Team,93,0.3857,confirmed_gap,,,
JIRA,93,0.3857,confirmed_gap,,,
CAD,93,0.3857,confirmed_gap,,,
Outbound Calling,92,0.3815,confirmed_gap,,,
Risk Assessment,92,0.3815,confirmed_gap,,,
Regression Testing,91,0.3774,confirmed_gap,,,
Front end,91,0.3774,confirmed_gap,,,
Inbound Customer Service,91,0.3774,confirmed_gap,,,
MVC,91,0.3774,confirmed_gap,,,
Packaging,91,0.3774,confirmed_gap,,,
Etl,91,0.3774,confirmed_gap,,,
Cse,90,0.3732,confirmed_gap,,,
Workflow,90,0.3732,confirmed_gap,,,
Sap Abap,90,0.3732,confirmed_gap,,,
Welding,90,0.3732,confirmed_gap,,,
SEO,89,0.3691,confirmed_gap,,,
Costing,89,0.3691,confirmed_gap,,,
Claims,88,0.3649,confirmed_gap,,,
Interpersonal Skills,88,0.3649,confirmed_gap,,,
Regulatory,88,0.3649,confirmed_gap,,,
Control,88,0.3649,confirmed_gap,,,
Payments,88,0.3649,confirmed_gap,,,
Customer satisfaction,88,0.3649,confirmed_gap,,,
Customer Complaints,87,0.3608,confirmed_gap,,,
Sap Abap Development,87,0.3608,confirmed_gap,,,
Business Loan,86,0.3567,confirmed_gap,,,
Business development,85,0.3525,confirmed_gap,,,
Sap S Hana,85,0.3525,confirmed_gap,,,
Chat Process,84,0.3484,confirmed_gap,,,
Terraform,84,0.3484,confirmed_gap,,,
Warehouse,84,0.3484,confirmed_gap,,,
Statutory Compliance,84,0.3484,confirmed_gap,,,
Agile Methodology,84,0.3484,confirmed_gap,,,
Content Editing,84,0.3484,confirmed_gap,,,
Cross Sales,84,0.3484,confirmed_gap,,,
Electricals,83,0.3442,confirmed_gap,,,
Banking Process,83,0.3442,confirmed_gap,,,
Google Analytics,83,0.3442,confirmed_gap,,,
C,83,0.3442,confirmed_gap,,,
International,83,0.3442,confirmed_gap,,,
Tableau,82,0.3401,confirmed_gap,,,
Typescript,82,0.3401,confirmed_gap,,,
MongoDB,82,0.3401,confirmed_gap,,,
Android,82,0.3401,confirmed_gap,,,
Bank Reconciliation,82,0.3401,confirmed_gap,,,
Aml,82,0.3401,confirmed_gap,,,
Machining,82,0.3401,confirmed_gap,,,
Medical Writing,82,0.3401,confirmed_gap,,,
Crm,81,0.3359,confirmed_gap,,,
Lead generation,81,0.3359,confirmed_gap,,,
Automotive,81,0.3359,confirmed_gap,,,
Housekeeping,81,0.3359,confirmed_gap,,,
Jenkins,81,0.3359,confirmed_gap,,,
Auto,80,0.3318,confirmed_gap,,,
Jquery,80,0.3318,confirmed_gap,,,
Bi,80,0.3318,confirmed_gap,,,
Automobile,80,0.3318,confirmed_gap,,,
Trade,79,0.3276,confirmed_gap,,,
SR,79,0.3276,confirmed_gap,,,
Data Science,79,0.3276,confirmed_gap,,,
Solid Works,79,0.3276,confirmed_gap,,,
Quality Audit,79,0.3276,confirmed_gap,,,
Programming,78,0.3235,confirmed_gap,,,
Mechanical Engineering,78,0.3235,confirmed_gap,,,
Financial Services,78,0.3235,confirmed_gap,,,
Illustrator,77,0.3193,confirmed_gap,,,
Test Cases,77,0.3193,confirmed_gap,,,
Bfsi,77,0.3193,confirmed_gap,,,
Sales management,77,0.3193,confirmed_gap,,,
Front Desk,77,0.3193,confirmed_gap,,,
Windows,77,0.3193,confirmed_gap,,,
Mutual Funds,76,0.3152,confirmed_gap,,,
Collections,76,0.3152,confirmed_gap,,,
Balance Sheet,76,0.3152,confirmed_gap,,,
HR Operations,76,0.3152,confirmed_gap,,,
Manufacturing,76,0.3152,confirmed_gap,,,
Ux,75,0.311,confirmed_gap,,,
ASP.Net,75,0.311,confirmed_gap,,,
Agency Channel,75,0.311,confirmed_gap,,,
Editing,75,0.311,confirmed_gap,,,
Autocad,75,0.311,confirmed_gap,,,
Process Improvement,73,0.3027,confirmed_gap,,,
Information technology,73,0.3027,confirmed_gap,,,
Capital Market,73,0.3027,confirmed_gap,,,
Loans,73,0.3027,confirmed_gap,,,
Import,73,0.3027,confirmed_gap,,,
Data Entry,73,0.3027,confirmed_gap,,,
Branch banking,73,0.3027,confirmed_gap,,,
Data Integration,73,0.3027,confirmed_gap,,,
Education,73,0.3027,confirmed_gap,,,
Application,73,0.3027,confirmed_gap,,,
Inbound Sales,73,0.3027,confirmed_gap,,,
Configuration,73,0.3027,confirmed_gap,,,
Middleware,72,0.2986,confirmed_gap,,,
Logistics Management,72,0.2986,confirmed_gap,,,
Pharma,72,0.2986,confirmed_gap,,,
Outbound Sales,72,0.2986,confirmed_gap,,,
Maven,72,0.2986,confirmed_gap,,,
Integration,72,0.2986,confirmed_gap,,,
SAP FICO,72,0.2986,confirmed_gap,,,
Azure Cloud,71,0.2944,confirmed_gap,,,
Bfsi Sales,71,0.2944,confirmed_gap,,,
Service Management,70,0.2903,confirmed_gap,,,
Sas,70,0.2903,confirmed_gap,,,
Good English Communication,70,0.2903,confirmed_gap,,,
Sales Strategy,70,0.2903,confirmed_gap,,,
Pharmacovigilance,70,0.2903,confirmed_gap,,,
Spark,70,0.2903,confirmed_gap,,,
Tensorflow,70,0.2903,confirmed_gap,,,
Banking Operations,70,0.2903,confirmed_gap,,,
CMMI,69,0.2862,confirmed_gap,,,
Switching,69,0.2862,confirmed_gap,,,
Electrical Engineering,69,0.2862,confirmed_gap,,,
Production Planning,69,0.2862,confirmed_gap,,,
Financial Reporting,69,0.2862,confirmed_gap,,,
Loan Sales,69,0.2862,confirmed_gap,,,
Analytical skills,69,0.2862,confirmed_gap,,,
Field,68,0.282,confirmed_gap,,,
Ansible,68,0.282,confirmed_gap,,,
QMS,68,0.282,confirmed_gap,,,
Home Loans,68,0.282,confirmed_gap,,,
CSS,68,0.282,confirmed_gap,,,
Staffing,68,0.282,confirmed_gap,,,
Sales Process,68,0.282,confirmed_gap,,,
Property Sales,68,0.282,confirmed_gap,,,
IATF,68,0.282,confirmed_gap,,,
Business Strategy,68,0.282,confirmed_gap,,,
Risk,68,0.282,confirmed_gap,,,
Personal Loans,68,0.282,confirmed_gap,,,
Operational excellence,67,0.2779,confirmed_gap,,,
Excellent Communication In English,67,0.2779,confirmed_gap,,,
Drawing,67,0.2779,confirmed_gap,,,
Relationship building,67,0.2779,confirmed_gap,,,
PLC,67,0.2779,confirmed_gap,,,
Inbound Voice Process,67,0.2779,confirmed_gap,,,
Admission Counselling,67,0.2779,confirmed_gap,,,
Unit Testing,67,0.2779,confirmed_gap,,,
Web technologies,67,0.2779,confirmed_gap,,,
Digital,67,0.2779,confirmed_gap,,,
Core,67,0.2779,confirmed_gap,,,
Transformers,66,0.2737,confirmed_gap,,,
Performance management,66,0.2737,confirmed_gap,,,
Portfolio Management,66,0.2737,confirmed_gap,,,
Sketchup,66,0.2737,confirmed_gap,,,
Design Patterns,65,0.2696,confirmed_gap,,,
Content Creation,65,0.2696,confirmed_gap,,,
Application Software,65,0.2696,confirmed_gap,,,
Scala,65,0.2696,confirmed_gap,,,
Redux,65,0.2696,confirmed_gap,,,
Fresher,65,0.2696,confirmed_gap,,,
Itil,65,0.2696,confirmed_gap,,,
Performance tuning,65,0.2696,confirmed_gap,,,
Performance Testing,65,0.2696,confirmed_gap,,,
Customer experience,64,0.2654,confirmed_gap,,,
Change Management,64,0.2654,confirmed_gap,,,
Pan,64,0.2654,confirmed_gap,,,
Training And Development,64,0.2654,confirmed_gap,,,
Azure Devops,64,0.2654,confirmed_gap,,,
Installation,64,0.2654,confirmed_gap,,,
New Client Acquisition,64,0.2654,confirmed_gap,,,
Inspection,64,0.2654,confirmed_gap,,,
Civil,64,0.2654,confirmed_gap,,,
Back Office,64,0.2654,confirmed_gap,,,
Design Engineering,64,0.2654,confirmed_gap,,,
Ado.Net,64,0.2654,confirmed_gap,,,
HVAC,64,0.2654,confirmed_gap,,,
Data modeling,64,0.2654,confirmed_gap,,,
IT services,63,0.2613,confirmed_gap,,,
Machine,63,0.2613,confirmed_gap,,,
Client Servicing,63,0.2613,confirmed_gap,,,
Plastic,63,0.2613,confirmed_gap,,,
Writing,62,0.2571,confirmed_gap,,,
Application development,62,0.2571,confirmed_gap,,,
Video Editing,62,0.2571,confirmed_gap,,,
Sales Executive Activities,62,0.2571,confirmed_gap,,,
Architectural Design,62,0.2571,confirmed_gap,,,
Gcp,62,0.2571,confirmed_gap,,,
Vendor Development,62,0.2571,confirmed_gap,,,
Macros,62,0.2571,confirmed_gap,,,
Business Development Management,61,0.253,confirmed_gap,,,
Human Resource Management,61,0.253,confirmed_gap,,,
Visualforce,61,0.253,confirmed_gap,,,
Instrumentation,61,0.253,confirmed_gap,,,
Stack,61,0.253,confirmed_gap,,,
Django,61,0.253,confirmed_gap,,,
R,61,0.253,confirmed_gap,,,
Email Marketing,61,0.253,confirmed_gap,,,
JSON,61,0.253,confirmed_gap,,,
Commercial,61,0.253,confirmed_gap,,,
Verbal Communication,61,0.253,confirmed_gap,,,
Incident Management,61,0.253,confirmed_gap,,,
Version control,61,0.253,confirmed_gap,,,
International Sales,61,0.253,confirmed_gap,,,
Cd,61,0.253,confirmed_gap,,,
Estate,61,0.253,confirmed_gap,,,
Supervisor,60,0.2488,confirmed_gap,,,
System,60,0.2488,confirmed_gap,,,
XML,60,0.2488,confirmed_gap,,,
Upselling,60,0.2488,confirmed_gap,,,
Saps,60,0.2488,confirmed_gap,,,
Preventive Maintenance,60,0.2488,confirmed_gap,,,
Strategic Planning,60,0.2488,confirmed_gap,,,
Receptionist Activities,60,0.2488,confirmed_gap,,,
Disaster Recovery,60,0.2488,confirmed_gap,,,
PMP,60,0.2488,confirmed_gap,,,
Security,60,0.2488,present,Security,"University of Mumbai, Savitribai Phule Pune University","MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100, Unknown"
Site,60,0.2488,confirmed_gap,,,
Workday,60,0.2488,confirmed_gap,,,
Site Execution,59,0.2447,confirmed_gap,,,
Sql Server,59,0.2447,confirmed_gap,,,
Regulations,59,0.2447,confirmed_gap,,,
Adobe Creative Suite,59,0.2447,confirmed_gap,,,
ITSM,59,0.2447,confirmed_gap,,,
Quality Management,59,0.2447,confirmed_gap,,,
Java Fullstack,59,0.2447,confirmed_gap,,,
Invoice Processing,59,0.2447,confirmed_gap,,,
Machine learning,58,0.2405,confirmed_gap,,,
Adobe,58,0.2405,confirmed_gap,,,
NPD,58,0.2405,confirmed_gap,,,
Mathematics,58,0.2405,confirmed_gap,,,
Gap Analysis,58,0.2405,confirmed_gap,,,
Drug Safety,58,0.2405,confirmed_gap,,,
Service Desk,58,0.2405,confirmed_gap,,,
Social Media,58,0.2405,confirmed_gap,,,
Onboarding,58,0.2405,confirmed_gap,,,
Market research,58,0.2405,confirmed_gap,,,
Graphic Designing,57,0.2364,confirmed_gap,,,
Industrial Sales,57,0.2364,confirmed_gap,,,
Educational Sales,57,0.2364,confirmed_gap,,,
Trading,57,0.2364,confirmed_gap,,,
Direct,57,0.2364,confirmed_gap,,,
Web Application Framework,57,0.2364,confirmed_gap,,,
Talent Development,57,0.2364,confirmed_gap,,,
Service Delivery,57,0.2364,confirmed_gap,,,
HNI,57,0.2364,confirmed_gap,,,
Abap,56,0.2322,confirmed_gap,,,
Loan Against Property,56,0.2322,confirmed_gap,,,
Branding,56,0.2322,confirmed_gap,,,
Accounts Finalisation,56,0.2322,confirmed_gap,,,
Api,56,0.2322,confirmed_gap,,,
Social Media Marketing,56,0.2322,confirmed_gap,,,
Media,56,0.2322,confirmed_gap,,,
Campaigns,56,0.2322,confirmed_gap,,,
Client Relationship,55,0.2281,confirmed_gap,,,
Key Account Management,55,0.2281,confirmed_gap,,,
Azure Data Factory,55,0.2281,confirmed_gap,,,
Account management,55,0.2281,confirmed_gap,,,
SAP ABAP,55,0.2281,confirmed_gap,,,
Content,55,0.2281,confirmed_gap,,,
Employee Engagement,55,0.2281,confirmed_gap,,,
JavaScript,55,0.2281,confirmed_gap,,,
Business strategy,55,0.2281,confirmed_gap,,,
B2B Marketing,55,0.2281,confirmed_gap,,,
Infrastructure,55,0.2281,confirmed_gap,,,
Powerpoint,55,0.2281,confirmed_gap,,,
Apex,55,0.2281,confirmed_gap,,,
Civil Engineering,55,0.2281,confirmed_gap,,,
Data Governance,54,0.2239,confirmed_gap,,,
PGT,54,0.2239,confirmed_gap,,,
Proof Reading,54,0.2239,confirmed_gap,,,
3D,54,0.2239,confirmed_gap,,,
PLSQL,54,0.2239,confirmed_gap,,,
Purchase Order,54,0.2239,confirmed_gap,,,
Plant Operations,54,0.2239,confirmed_gap,,,
Data Visualization,54,0.2239,confirmed_gap,,,
Front Office,54,0.2239,confirmed_gap,,,
Electronics,54,0.2239,confirmed_gap,,,
Channel,54,0.2239,confirmed_gap,,,
Broking,54,0.2239,confirmed_gap,,,
Credit Card Sales,53,0.2198,confirmed_gap,,,
MIS Reporting,53,0.2198,confirmed_gap,,,
Sales Coordination,53,0.2198,confirmed_gap,,,
Wealth Management,53,0.2198,confirmed_gap,,,
