academic_year_or_version,program,branch,year,semester,course_code,course_title,unit_or_module,topic,source_page,source_section
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Code optimization,Principal sources of optimization,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Code optimization,Machine Independent Optimization,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Code optimization,Machine dependent,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Code optimization,propagation,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Code optimization,Dead-code elimination,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Code optimization,Loop Optimizations,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Code optimization,Code Motion,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Code optimization,Induction variables and strength reduction,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Code optimization,Peephole Optimization,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Code optimization,Redundant -instruction elimination.,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Run-Time Memory Management & Code generation,Model of a program in execution,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Run-Time Memory Management & Code generation,Stack and static allocation,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Run-Time Memory Management & Code generation,Activation records,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Run-Time Memory Management & Code generation,Issues in the design of code,6,Syllabus: Compiler Construction (Page 6)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Self-study,Source-to-Source translation,7,Syllabus: Compiler Construction (Page 7)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Self-study,Operator precedence parsing,7,Syllabus: Compiler Construction (Page 7)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Self-study,CLR and LALR parsers,7,Syllabus: Compiler Construction (Page 7)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Self-study,Conflict Resolution in LR parsers,7,Syllabus: Compiler Construction (Page 7)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Self-study,Symbol table organization techniques,7,Syllabus: Compiler Construction (Page 7)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Self-study,Bootstrapping of compiler,7,Syllabus: Compiler Construction (Page 7)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Self-study,Modern compiler construction tools,7,Syllabus: Compiler Construction (Page 7)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Self-study,register,7,Syllabus: Compiler Construction (Page 7)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26001,Compiler Construction,Self-study,allocation and assignment,7,Syllabus: Compiler Construction (Page 7)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Course outcomes,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,the algorithms for checking the integrity of data.,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,protection mechanisms.,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Introduction: [6 Hrs],8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Cryptography,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Need of security,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Security services,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Basic network security terminology,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Security attacks,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,a model for,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,network security,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Classical encryption techniques,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Mathematical Foundations: [6 Hrs],8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Prime Number,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,relatively prime numbers,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Modular Arithmetic,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Fermat's and Euler's Theorem,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Primitive,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,roots,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,The Euclidean and Extended Euclidean Algorithms,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,The Chinese Remainder Theorem,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Symmetric Cryptography: [6 Hrs],8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Symmetric Key Ciphers,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Feistel block cipher,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Modern Block Ciphers: Data Encryption Standard (DES),8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Block,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,cipher design principles,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Advanced Encryption Standard (AES),8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Block cipher Operations: Electronic,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Codebook mode,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Cipher Block Chaining mode,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Cipher Feedback mode,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Counter mode.,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Cryptanalysis of,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Symmetric Key Ciphers: Linear Cryptanalysis,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Differential Cryptanalysis,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Asymmetric Cryptography: [6 Hrs],8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,RSA,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Diffie-Hellman Key Exchange,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Elliptic Curve Cryptography,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Key Management and distribution,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Cryptographic Hash functions: Message Digest 5 (MD5),8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Secure Hash algorithm (SHA),8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Message,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Authentication Codes,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Digital Signature Algorithm,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Authentication and Web Security: [6 Hrs],8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Authentication Protocols,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Kerberos,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,X.509 Digital Certificates,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Pretty Good Privacy,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Secure Socket Layer,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Network Security: [6 Hrs],8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Intrusion,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,types of intruders,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Intrusion Detection,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,IDS,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Honeypot,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Firewalls,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Types of firewalls,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Firewall,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26002,Cryptography and Network Security,Self-Study Topics,Design Principles.,8,Syllabus: Cryptography and Network Security (Page 8)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26003-A,System Administration,Self-Study Topics,Course outcomes,10,Syllabus: System Administration (Page 10)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26003-A,System Administration,Self-Study Topics,Install various Linux distributions and Windows-based servers and desktop systems on commodity,10,Syllabus: System Administration (Page 10)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26003-A,System Administration,Self-Study Topics,hardware,10,Syllabus: System Administration (Page 10)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26003-A,System Administration,Self-Study Topics,and carry out basic administration tasks of the user,10,Syllabus: System Administration (Page 10)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26003-A,System Administration,Self-Study Topics,network,10,Syllabus: System Administration (Page 10)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26003-A,System Administration,Self-Study Topics,process,10,Syllabus: System Administration (Page 10)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26003-A,System Administration,Self-Study Topics,storage,10,Syllabus: System Administration (Page 10)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26003-A,System Administration,Self-Study Topics,management.,10,Syllabus: System Administration (Page 10)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26003-A,System Administration,Self-Study Topics,Set up a LAN-based laboratory using DHCP.,10,Syllabus: System Administration (Page 10)
A.Y. 2024-25,B. Tech.,Computer Science and Engineering,Final Year,Semester - VII,CT-26003-A,System Administration,Self-Study Topics,Install and configure a web server,10,Syllabus: System Administration (Page 10)
