industry_skill,gap_status,demand_percentage,recommended_priority,recommended_action,explanation
Talent Acquisition,confirmed_gap,0.7133,High,Add to Curriculum,High industry demand (0.71%) but completely missing from current syllabus.
MIS,confirmed_gap,0.7133,High,Add to Curriculum,High industry demand (0.71%) but completely missing from current syllabus.
Insurance,confirmed_gap,0.7092,High,Add to Curriculum,High industry demand (0.71%) but completely missing from current syllabus.
HTML,confirmed_gap,0.6967,High,Add to Curriculum,High industry demand (0.70%) but completely missing from current syllabus.
Gst,confirmed_gap,0.6926,High,Add to Curriculum,High industry demand (0.69%) but completely missing from current syllabus.
Selenium,confirmed_gap,0.6884,High,Add to Curriculum,High industry demand (0.69%) but completely missing from current syllabus.
Tally,confirmed_gap,0.6843,High,Add to Curriculum,High industry demand (0.68%) but completely missing from current syllabus.
Billing,confirmed_gap,0.6801,High,Add to Curriculum,High industry demand (0.68%) but completely missing from current syllabus.
Software,confirmed_gap,0.6801,High,Add to Curriculum,High industry demand (0.68%) but completely missing from current syllabus.
Design Principles,confirmed_gap,0.6718,High,Add to Curriculum,High industry demand (0.67%) but completely missing from current syllabus.
Taxation,confirmed_gap,0.6718,High,Add to Curriculum,High industry demand (0.67%) but completely missing from current syllabus.
Life Insurance,confirmed_gap,0.6677,High,Add to Curriculum,High industry demand (0.67%) but completely missing from current syllabus.
Vendor Management,confirmed_gap,0.6677,High,Add to Curriculum,High industry demand (0.67%) but completely missing from current syllabus.
GCP,confirmed_gap,0.6594,High,Add to Curriculum,High industry demand (0.66%) but completely missing from current syllabus.
Manager Technology,confirmed_gap,0.6511,High,Add to Curriculum,High industry demand (0.65%) but completely missing from current syllabus.
Project,confirmed_gap,0.6387,High,Add to Curriculum,High industry demand (0.64%) but completely missing from current syllabus.
Data Modeling,confirmed_gap,0.6387,High,Add to Curriculum,High industry demand (0.64%) but completely missing from current syllabus.
Payroll,confirmed_gap,0.6262,High,Add to Curriculum,High industry demand (0.63%) but completely missing from current syllabus.
Business Process Outsourcing,confirmed_gap,0.6262,High,Add to Curriculum,High industry demand (0.63%) but completely missing from current syllabus.
B2C Sales,confirmed_gap,0.6138,High,Add to Curriculum,High industry demand (0.61%) but completely missing from current syllabus.
Backend,confirmed_gap,0.6138,High,Add to Curriculum,High industry demand (0.61%) but completely missing from current syllabus.
Inside Sales,confirmed_gap,0.6096,High,Add to Curriculum,High industry demand (0.61%) but completely missing from current syllabus.
Analytics,confirmed_gap,0.6096,High,Add to Curriculum,High industry demand (0.61%) but completely missing from current syllabus.
Reconciliation,confirmed_gap,0.6096,High,Add to Curriculum,High industry demand (0.61%) but completely missing from current syllabus.
Purchase,confirmed_gap,0.6055,High,Add to Curriculum,High industry demand (0.61%) but completely missing from current syllabus.
Sales And Marketing,confirmed_gap,0.6055,High,Add to Curriculum,High industry demand (0.61%) but completely missing from current syllabus.
Planning,confirmed_gap,0.6055,High,Add to Curriculum,High industry demand (0.61%) but completely missing from current syllabus.
ISO,confirmed_gap,0.6013,High,Add to Curriculum,High industry demand (0.60%) but completely missing from current syllabus.
Data Warehousing,confirmed_gap,0.5972,High,Add to Curriculum,High industry demand (0.60%) but completely missing from current syllabus.
Logistics,confirmed_gap,0.5972,High,Add to Curriculum,High industry demand (0.60%) but completely missing from current syllabus.
Leadership,confirmed_gap,0.593,High,Add to Curriculum,High industry demand (0.59%) but completely missing from current syllabus.
Retail Sales,confirmed_gap,0.593,High,Add to Curriculum,High industry demand (0.59%) but completely missing from current syllabus.
Azure,confirmed_gap,0.593,High,Add to Curriculum,High industry demand (0.59%) but completely missing from current syllabus.
Research,confirmed_gap,0.593,High,Add to Curriculum,High industry demand (0.59%) but completely missing from current syllabus.
Stakeholder Management,confirmed_gap,0.593,High,Add to Curriculum,High industry demand (0.59%) but completely missing from current syllabus.
Budgeting,confirmed_gap,0.593,High,Add to Curriculum,High industry demand (0.59%) but completely missing from current syllabus.
Node.js,confirmed_gap,0.5889,High,Add to Curriculum,High industry demand (0.59%) but completely missing from current syllabus.
Insurance Sales,confirmed_gap,0.5889,High,Add to Curriculum,High industry demand (0.59%) but completely missing from current syllabus.
Continuous improvement,confirmed_gap,0.5847,High,Add to Curriculum,High industry demand (0.58%) but completely missing from current syllabus.
Data analysis,confirmed_gap,0.5806,High,Add to Curriculum,High industry demand (0.58%) but completely missing from current syllabus.
Program Management,confirmed_gap,0.5806,High,Add to Curriculum,High industry demand (0.58%) but completely missing from current syllabus.
Investment Banking,confirmed_gap,0.5806,High,Add to Curriculum,High industry demand (0.58%) but completely missing from current syllabus.
Erp,confirmed_gap,0.5765,High,Add to Curriculum,High industry demand (0.58%) but completely missing from current syllabus.
Retail,confirmed_gap,0.5765,High,Add to Curriculum,High industry demand (0.58%) but completely missing from current syllabus.
Fabrication,confirmed_gap,0.5723,High,Add to Curriculum,High industry demand (0.57%) but completely missing from current syllabus.
Bpo Customer Service,confirmed_gap,0.5723,High,Add to Curriculum,High industry demand (0.57%) but completely missing from current syllabus.
Salesforce,confirmed_gap,0.5723,High,Add to Curriculum,High industry demand (0.57%) but completely missing from current syllabus.
Outbound Process,confirmed_gap,0.5723,High,Add to Curriculum,High industry demand (0.57%) but completely missing from current syllabus.
Data Analytics,confirmed_gap,0.5723,High,Add to Curriculum,High industry demand (0.57%) but completely missing from current syllabus.
Hospitality,confirmed_gap,0.5682,High,Add to Curriculum,High industry demand (0.57%) but completely missing from current syllabus.
Relationship Management,confirmed_gap,0.5682,High,Add to Curriculum,High industry demand (0.57%) but completely missing from current syllabus.
Communication skills,confirmed_gap,0.5682,High,Add to Curriculum,High industry demand (0.57%) but completely missing from current syllabus.
Client Acquisition,confirmed_gap,0.5599,High,Add to Curriculum,High industry demand (0.56%) but completely missing from current syllabus.
Technical,confirmed_gap,0.5599,High,Add to Curriculum,High industry demand (0.56%) but completely missing from current syllabus.
Analysis,confirmed_gap,0.5557,High,Add to Curriculum,High industry demand (0.56%) but completely missing from current syllabus.
Microsoft,confirmed_gap,0.5516,High,Add to Curriculum,High industry demand (0.55%) but completely missing from current syllabus.
Boot,confirmed_gap,0.5516,High,Add to Curriculum,High industry demand (0.55%) but completely missing from current syllabus.
Supply chain,confirmed_gap,0.5516,High,Add to Curriculum,High industry demand (0.55%) but completely missing from current syllabus.
It Services,confirmed_gap,0.5516,High,Add to Curriculum,High industry demand (0.55%) but completely missing from current syllabus.
Assistance,confirmed_gap,0.5516,High,Add to Curriculum,High industry demand (0.55%) but completely missing from current syllabus.
B2B,confirmed_gap,0.5474,High,Add to Curriculum,High industry demand (0.55%) but completely missing from current syllabus.
Technical Support,confirmed_gap,0.5433,High,Add to Curriculum,High industry demand (0.54%) but completely missing from current syllabus.
Hive,confirmed_gap,0.5391,High,Add to Curriculum,High industry demand (0.54%) but completely missing from current syllabus.
Data Management,confirmed_gap,0.5391,High,Add to Curriculum,High industry demand (0.54%) but completely missing from current syllabus.
Coordination,confirmed_gap,0.5391,High,Add to Curriculum,High industry demand (0.54%) but completely missing from current syllabus.
International BPO,confirmed_gap,0.535,High,Add to Curriculum,High industry demand (0.54%) but completely missing from current syllabus.
Tally ERP,confirmed_gap,0.535,High,Add to Curriculum,High industry demand (0.54%) but completely missing from current syllabus.
Supply Chain,confirmed_gap,0.535,High,Add to Curriculum,High industry demand (0.54%) but completely missing from current syllabus.
API,confirmed_gap,0.535,High,Add to Curriculum,High industry demand (0.54%) but completely missing from current syllabus.
Risk management,confirmed_gap,0.5308,High,Add to Curriculum,High industry demand (0.53%) but completely missing from current syllabus.
Bootstrap,confirmed_gap,0.5308,High,Add to Curriculum,High industry demand (0.53%) but completely missing from current syllabus.
Servicenow,confirmed_gap,0.5308,High,Add to Curriculum,High industry demand (0.53%) but completely missing from current syllabus.
Photoshop,confirmed_gap,0.5308,High,Add to Curriculum,High industry demand (0.53%) but completely missing from current syllabus.
Manual Testing,confirmed_gap,0.5267,High,Add to Curriculum,High industry demand (0.53%) but completely missing from current syllabus.
Quality,confirmed_gap,0.5267,High,Add to Curriculum,High industry demand (0.53%) but completely missing from current syllabus.
Corporate,confirmed_gap,0.5267,High,Add to Curriculum,High industry demand (0.53%) but completely missing from current syllabus.
Scrum,confirmed_gap,0.5225,High,Add to Curriculum,High industry demand (0.52%) but completely missing from current syllabus.
Voice,confirmed_gap,0.5225,High,Add to Curriculum,High industry demand (0.52%) but completely missing from current syllabus.
Pyspark,confirmed_gap,0.5225,High,Add to Curriculum,High industry demand (0.52%) but completely missing from current syllabus.
Direct Sales,confirmed_gap,0.5225,High,Add to Curriculum,High industry demand (0.52%) but completely missing from current syllabus.
Maintenance,confirmed_gap,0.5184,High,Add to Curriculum,High industry demand (0.52%) but completely missing from current syllabus.
MySQL,confirmed_gap,0.5184,High,Add to Curriculum,High industry demand (0.52%) but completely missing from current syllabus.
Pharmaceutical,confirmed_gap,0.5142,High,Add to Curriculum,High industry demand (0.51%) but completely missing from current syllabus.
Software testing,confirmed_gap,0.5101,High,Add to Curriculum,High industry demand (0.51%) but completely missing from current syllabus.
Dbms,confirmed_gap,0.506,High,Add to Curriculum,High industry demand (0.51%) but completely missing from current syllabus.
GIT,confirmed_gap,0.506,High,Add to Curriculum,High industry demand (0.51%) but completely missing from current syllabus.
Relationship management,confirmed_gap,0.506,High,Add to Curriculum,High industry demand (0.51%) but completely missing from current syllabus.
Usage,confirmed_gap,0.506,High,Add to Curriculum,High industry demand (0.51%) but completely missing from current syllabus.
Convincing Power,confirmed_gap,0.506,High,Add to Curriculum,High industry demand (0.51%) but completely missing from current syllabus.
Acquisition,confirmed_gap,0.5018,High,Add to Curriculum,High industry demand (0.50%) but completely missing from current syllabus.
Target Achievement,confirmed_gap,0.4977,High,Add to Curriculum,High industry demand (0.50%) but completely missing from current syllabus.
Data management,confirmed_gap,0.4977,High,Add to Curriculum,High industry demand (0.50%) but completely missing from current syllabus.
Jsp,confirmed_gap,0.4977,High,Add to Curriculum,High industry demand (0.50%) but completely missing from current syllabus.
Bpo Voice,confirmed_gap,0.4935,High,Add to Curriculum,High industry demand (0.49%) but completely missing from current syllabus.
Git,confirmed_gap,0.4935,High,Add to Curriculum,High industry demand (0.49%) but completely missing from current syllabus.
Handling,confirmed_gap,0.4894,High,Add to Curriculum,High industry demand (0.49%) but completely missing from current syllabus.
Postgresql,confirmed_gap,0.4852,High,Add to Curriculum,High industry demand (0.49%) but completely missing from current syllabus.
Performance Tuning,confirmed_gap,0.4852,High,Add to Curriculum,High industry demand (0.49%) but completely missing from current syllabus.
Cross Selling,confirmed_gap,0.4811,High,Add to Curriculum,High industry demand (0.48%) but completely missing from current syllabus.
Reporting,confirmed_gap,0.4811,High,Add to Curriculum,High industry demand (0.48%) but completely missing from current syllabus.
Inbound Calls,confirmed_gap,0.4811,High,Add to Curriculum,High industry demand (0.48%) but completely missing from current syllabus.
J2Ee,confirmed_gap,0.4728,High,Add to Curriculum,High industry demand (0.47%) but completely missing from current syllabus.
Presales,confirmed_gap,0.4686,High,Add to Curriculum,High industry demand (0.47%) but completely missing from current syllabus.
Kafka,confirmed_gap,0.4686,High,Add to Curriculum,High industry demand (0.47%) but completely missing from current syllabus.
Change management,confirmed_gap,0.4686,High,Add to Curriculum,High industry demand (0.47%) but completely missing from current syllabus.
Quality Assurance,confirmed_gap,0.4686,High,Add to Curriculum,High industry demand (0.47%) but completely missing from current syllabus.
Problem Solving,confirmed_gap,0.4645,High,Add to Curriculum,High industry demand (0.46%) but completely missing from current syllabus.
Construction,confirmed_gap,0.4645,High,Add to Curriculum,High industry demand (0.46%) but completely missing from current syllabus.
Customer Handling,confirmed_gap,0.4645,High,Add to Curriculum,High industry demand (0.46%) but completely missing from current syllabus.
Product management,confirmed_gap,0.4603,High,Add to Curriculum,High industry demand (0.46%) but completely missing from current syllabus.
Scheduling,confirmed_gap,0.4562,High,Add to Curriculum,High industry demand (0.46%) but completely missing from current syllabus.
Github,confirmed_gap,0.4562,High,Add to Curriculum,High industry demand (0.46%) but completely missing from current syllabus.
Net Core,confirmed_gap,0.452,High,Add to Curriculum,High industry demand (0.45%) but completely missing from current syllabus.
Unix,confirmed_gap,0.452,High,Add to Curriculum,High industry demand (0.45%) but completely missing from current syllabus.
Client Relationship Management,confirmed_gap,0.452,High,Add to Curriculum,High industry demand (0.45%) but completely missing from current syllabus.
Office,confirmed_gap,0.452,High,Add to Curriculum,High industry demand (0.45%) but completely missing from current syllabus.
End To End Recruitment,confirmed_gap,0.4479,High,Add to Curriculum,High industry demand (0.45%) but completely missing from current syllabus.
Snowflake,confirmed_gap,0.4479,High,Add to Curriculum,High industry demand (0.45%) but completely missing from current syllabus.
Cyber Security,confirmed_gap,0.4437,High,Add to Curriculum,High industry demand (0.44%) but completely missing from current syllabus.
Generation,confirmed_gap,0.4437,High,Add to Curriculum,High industry demand (0.44%) but completely missing from current syllabus.
Inventory Management,confirmed_gap,0.4437,High,Add to Curriculum,High industry demand (0.44%) but completely missing from current syllabus.
Software Development Life Cycle,confirmed_gap,0.4396,High,Add to Curriculum,High industry demand (0.44%) but completely missing from current syllabus.
Inbound,confirmed_gap,0.4396,High,Add to Curriculum,High industry demand (0.44%) but completely missing from current syllabus.
Java Development,confirmed_gap,0.4396,High,Add to Curriculum,High industry demand (0.44%) but completely missing from current syllabus.
Fluent English,confirmed_gap,0.4354,High,Add to Curriculum,High industry demand (0.44%) but completely missing from current syllabus.
Natural Language Processing,confirmed_gap,0.4354,High,Add to Curriculum,High industry demand (0.44%) but completely missing from current syllabus.
International Call Center,confirmed_gap,0.4354,High,Add to Curriculum,High industry demand (0.44%) but completely missing from current syllabus.
ETL,confirmed_gap,0.4313,High,Add to Curriculum,High industry demand (0.43%) but completely missing from current syllabus.
Database Management,confirmed_gap,0.4313,High,Add to Curriculum,High industry demand (0.43%) but completely missing from current syllabus.
Technical Leadership,confirmed_gap,0.4313,High,Add to Curriculum,High industry demand (0.43%) but completely missing from current syllabus.
HR,confirmed_gap,0.4272,High,Add to Curriculum,High industry demand (0.43%) but completely missing from current syllabus.
