skill,skill_normalized,job_count,demand_percentage,total_jobs,data_version,calculated_at
Microsoft Azure,Microsoft Azure,295,1.2234,24113,1.0,2026-09-18T12:34:10.283307
AutoCAD,AutoCAD,290,1.2027,24113,1.0,2026-09-18T12:34:10.283307
Telesales,Telesales,289,1.1985,24113,1.0,2026-09-18T12:34:10.283307
non voice process,Non Voice Process,288,1.1944,24113,1.0,2026-09-18T12:34:10.283307
Business Analysis,Business Analysis,278,1.1529,24113,1.0,2026-09-18T12:34:10.283307
Procurement,Procurement,276,1.1446,24113,1.0,2026-09-18T12:34:10.283307
Project management,Project management,275,1.1405,24113,1.0,2026-09-18T12:34:10.283307
ERP,ERP,269,1.1156,24113,1.0,2026-09-18T12:34:10.283307
Production,Production,263,1.0907,24113,1.0,2026-09-18T12:34:10.283307
AWS,AWS,260,1.0783,24113,1.0,2026-09-18T12:34:10.283307
Relationship,Relationship,260,1.0783,24113,1.0,2026-09-18T12:34:10.283307
Administration,Administration,254,1.0534,24113,1.0,2026-09-18T12:34:10.283307
Spring,Spring,252,1.0451,24113,1.0,2026-09-18T12:34:10.283307
Risk Management,Risk Management,250,1.0368,24113,1.0,2026-09-18T12:34:10.283307
screening,Screening,248,1.0285,24113,1.0,2026-09-18T12:34:10.283307
presentation skills,Presentation Skills,245,1.016,24113,1.0,2026-09-18T12:34:10.283307
React.Js,React.Js,244,1.0119,24113,1.0,2026-09-18T12:34:10.283307
Devops,Devops,243,1.0078,24113,1.0,2026-09-18T12:34:10.283307
operations management,Operations Management,238,0.987,24113,1.0,2026-09-18T12:34:10.283307
Linux,Linux,237,0.9829,24113,1.0,2026-09-18T12:34:10.283307
Automation Testing,Automation Testing,235,0.9746,24113,1.0,2026-09-18T12:34:10.283307
Telecalling,Telecalling,232,0.9621,24113,1.0,2026-09-18T12:34:10.283307
Ci/Cd,Ci/Cd,232,0.9621,24113,1.0,2026-09-18T12:34:10.283307
Engineering,Engineering,226,0.9373,24113,1.0,2026-09-18T12:34:10.283307
Computer science,Computer science,225,0.9331,24113,1.0,2026-09-18T12:34:10.283307
Customer service,Customer service,223,0.9248,24113,1.0,2026-09-18T12:34:10.283307
Full Stack,Full Stack,223,0.9248,24113,1.0,2026-09-18T12:34:10.283307
Root Cause Analysis,Root Cause Analysis,222,0.9207,24113,1.0,2026-09-18T12:34:10.283307
International Voice Process,International Voice Process,221,0.9165,24113,1.0,2026-09-18T12:34:10.283307
Channel Sales,Channel Sales,220,0.9124,24113,1.0,2026-09-18T12:34:10.283307
Architecture,Architecture,219,0.9082,24113,1.0,2026-09-18T12:34:10.283307
Angular,Angular,218,0.9041,24113,1.0,2026-09-18T12:34:10.283307
Financial Analysis,Financial Analysis,217,0.8999,24113,1.0,2026-09-18T12:34:10.283307
Customer Relationship,Customer Relationship,213,0.8833,24113,1.0,2026-09-18T12:34:10.283307
hr generalist activities,Hr Generalist Activities,210,0.8709,24113,1.0,2026-09-18T12:34:10.283307
Marathi,Marathi,209,0.8668,24113,1.0,2026-09-18T12:34:10.283307
Hiring,Hiring,209,0.8668,24113,1.0,2026-09-18T12:34:10.283307
teaching,Teaching,208,0.8626,24113,1.0,2026-09-18T12:34:10.283307
Design,Design,207,0.8585,24113,1.0,2026-09-18T12:34:10.283307
Auditing,Auditing,205,0.8502,24113,1.0,2026-09-18T12:34:10.283307
Inbound Process,Inbound Process,205,0.8502,24113,1.0,2026-09-18T12:34:10.283307
Calling,Calling,204,0.846,24113,1.0,2026-09-18T12:34:10.283307
Cloud,Cloud,204,0.846,24113,1.0,2026-09-18T12:34:10.283307
Accounts Receivable,Accounts Receivable,204,0.846,24113,1.0,2026-09-18T12:34:10.283307
Hindi,Hindi,203,0.8419,24113,1.0,2026-09-18T12:34:10.283307
Banking,Banking,203,0.8419,24113,1.0,2026-09-18T12:34:10.283307
Accounts Payable,Accounts Payable,202,0.8377,24113,1.0,2026-09-18T12:34:10.283307
Docker,Docker,202,0.8377,24113,1.0,2026-09-18T12:34:10.283307
Process,Process,202,0.8377,24113,1.0,2026-09-18T12:34:10.283307
service operations,Service Operations,201,0.8336,24113,1.0,2026-09-18T12:34:10.283307
Artificial Intelligence,Artificial Intelligence,199,0.8253,24113,1.0,2026-09-18T12:34:10.283307
Debugging,Debugging,198,0.8211,24113,1.0,2026-09-18T12:34:10.283307
Field Sales,Field Sales,197,0.817,24113,1.0,2026-09-18T12:34:10.283307
Content Management,Content Management,195,0.8087,24113,1.0,2026-09-18T12:34:10.283307
Senior,Senior,195,0.8087,24113,1.0,2026-09-18T12:34:10.283307
Creative Writing,Creative Writing,194,0.8045,24113,1.0,2026-09-18T12:34:10.283307
Quality Control,Quality Control,193,0.8004,24113,1.0,2026-09-18T12:34:10.283307
Negotiation,Negotiation,192,0.7963,24113,1.0,2026-09-18T12:34:10.283307
Power Bi,Power Bi,191,0.7921,24113,1.0,2026-09-18T12:34:10.283307
Machine Learning,Machine Learning,188,0.7797,24113,1.0,2026-09-18T12:34:10.283307
Monitoring,Monitoring,187,0.7755,24113,1.0,2026-09-18T12:34:10.283307
joining formalities,Joining Formalities,187,0.7755,24113,1.0,2026-09-18T12:34:10.283307
Coding,Coding,186,0.7714,24113,1.0,2026-09-18T12:34:10.283307
application design,Application Design,185,0.7672,24113,1.0,2026-09-18T12:34:10.283307
aws,Aws,185,0.7672,24113,1.0,2026-09-18T12:34:10.283307
TDS,TDS,184,0.7631,24113,1.0,2026-09-18T12:34:10.283307
Sap Hana,Sap Hana,184,0.7631,24113,1.0,2026-09-18T12:34:10.283307
development methodologies,Development Methodologies,184,0.7631,24113,1.0,2026-09-18T12:34:10.283307
Forecasting,Forecasting,184,0.7631,24113,1.0,2026-09-18T12:34:10.283307
cold calling,Cold Calling,183,0.7589,24113,1.0,2026-09-18T12:34:10.283307
Healthcare,Healthcare,182,0.7548,24113,1.0,2026-09-18T12:34:10.283307
Hrsd,Hrsd,178,0.7382,24113,1.0,2026-09-18T12:34:10.283307
MS Office,MS Office,177,0.734,24113,1.0,2026-09-18T12:34:10.283307
Sourcing,Sourcing,176,0.7299,24113,1.0,2026-09-18T12:34:10.283307
html,Html,173,0.7175,24113,1.0,2026-09-18T12:34:10.283307
Talent Acquisition,Talent Acquisition,172,0.7133,24113,1.0,2026-09-18T12:34:10.283307
MIS,MIS,172,0.7133,24113,1.0,2026-09-18T12:34:10.283307
Insurance,Insurance,171,0.7092,24113,1.0,2026-09-18T12:34:10.283307
HTML,HTML,168,0.6967,24113,1.0,2026-09-18T12:34:10.283307
Gst,Gst,167,0.6926,24113,1.0,2026-09-18T12:34:10.283307
Selenium,Selenium,166,0.6884,24113,1.0,2026-09-18T12:34:10.283307
Tally,Tally,165,0.6843,24113,1.0,2026-09-18T12:34:10.283307
Billing,Billing,164,0.6801,24113,1.0,2026-09-18T12:34:10.283307
Software,Software,164,0.6801,24113,1.0,2026-09-18T12:34:10.283307
Design Principles,Design Principles,162,0.6718,24113,1.0,2026-09-18T12:34:10.283307
Taxation,Taxation,162,0.6718,24113,1.0,2026-09-18T12:34:10.283307
Life Insurance,Life Insurance,161,0.6677,24113,1.0,2026-09-18T12:34:10.283307
vendor management,Vendor Management,161,0.6677,24113,1.0,2026-09-18T12:34:10.283307
GCP,GCP,159,0.6594,24113,1.0,2026-09-18T12:34:10.283307
Manager Technology,Manager Technology,157,0.6511,24113,1.0,2026-09-18T12:34:10.283307
Project,Project,154,0.6387,24113,1.0,2026-09-18T12:34:10.283307
data modeling,Data Modeling,154,0.6387,24113,1.0,2026-09-18T12:34:10.283307
payroll,Payroll,151,0.6262,24113,1.0,2026-09-18T12:34:10.283307
business process outsourcing,Business Process Outsourcing,151,0.6262,24113,1.0,2026-09-18T12:34:10.283307
B2C Sales,B2C Sales,148,0.6138,24113,1.0,2026-09-18T12:34:10.283307
Backend,Backend,148,0.6138,24113,1.0,2026-09-18T12:34:10.283307
Inside Sales,Inside Sales,147,0.6096,24113,1.0,2026-09-18T12:34:10.283307
Analytics,Analytics,147,0.6096,24113,1.0,2026-09-18T12:34:10.283307
Reconciliation,Reconciliation,147,0.6096,24113,1.0,2026-09-18T12:34:10.283307
Purchase,Purchase,146,0.6055,24113,1.0,2026-09-18T12:34:10.283307
Sales And Marketing,Sales And Marketing,146,0.6055,24113,1.0,2026-09-18T12:34:10.283307
planning,Planning,146,0.6055,24113,1.0,2026-09-18T12:34:10.283307
ISO,ISO,145,0.6013,24113,1.0,2026-09-18T12:34:10.283307
data warehousing,Data Warehousing,144,0.5972,24113,1.0,2026-09-18T12:34:10.283307
Logistics,Logistics,144,0.5972,24113,1.0,2026-09-18T12:34:10.283307
Leadership,Leadership,143,0.593,24113,1.0,2026-09-18T12:34:10.283307
Retail Sales,Retail Sales,143,0.593,24113,1.0,2026-09-18T12:34:10.283307
Azure,Azure,143,0.593,24113,1.0,2026-09-18T12:34:10.283307
Research,Research,143,0.593,24113,1.0,2026-09-18T12:34:10.283307
Stakeholder Management,Stakeholder Management,143,0.593,24113,1.0,2026-09-18T12:34:10.283307
Budgeting,Budgeting,143,0.593,24113,1.0,2026-09-18T12:34:10.283307
Node.Js,Node.js,142,0.5889,24113,1.0,2026-09-18T12:34:10.283307
Insurance Sales,Insurance Sales,142,0.5889,24113,1.0,2026-09-18T12:34:10.283307
Continuous improvement,Continuous improvement,141,0.5847,24113,1.0,2026-09-18T12:34:10.283307
Data analysis,Data analysis,140,0.5806,24113,1.0,2026-09-18T12:34:10.283307
Program Management,Program Management,140,0.5806,24113,1.0,2026-09-18T12:34:10.283307
Investment Banking,Investment Banking,140,0.5806,24113,1.0,2026-09-18T12:34:10.283307
erp,Erp,139,0.5765,24113,1.0,2026-09-18T12:34:10.283307
Retail,Retail,139,0.5765,24113,1.0,2026-09-18T12:34:10.283307
Fabrication,Fabrication,138,0.5723,24113,1.0,2026-09-18T12:34:10.283307
Bpo Customer Service,Bpo Customer Service,138,0.5723,24113,1.0,2026-09-18T12:34:10.283307
Salesforce,Salesforce,138,0.5723,24113,1.0,2026-09-18T12:34:10.283307
Outbound Process,Outbound Process,138,0.5723,24113,1.0,2026-09-18T12:34:10.283307
data analytics,Data Analytics,138,0.5723,24113,1.0,2026-09-18T12:34:10.283307
Hospitality,Hospitality,137,0.5682,24113,1.0,2026-09-18T12:34:10.283307
Relationship Management,Relationship Management,137,0.5682,24113,1.0,2026-09-18T12:34:10.283307
Communication skills,Communication skills,137,0.5682,24113,1.0,2026-09-18T12:34:10.283307
Client Acquisition,Client Acquisition,135,0.5599,24113,1.0,2026-09-18T12:34:10.283307
Technical,Technical,135,0.5599,24113,1.0,2026-09-18T12:34:10.283307
Analysis,Analysis,134,0.5557,24113,1.0,2026-09-18T12:34:10.283307
Microsoft,Microsoft,133,0.5516,24113,1.0,2026-09-18T12:34:10.283307
Boot,Boot,133,0.5516,24113,1.0,2026-09-18T12:34:10.283307
Supply chain,Supply chain,133,0.5516,24113,1.0,2026-09-18T12:34:10.283307
it services,It Services,133,0.5516,24113,1.0,2026-09-18T12:34:10.283307
Assistance,Assistance,133,0.5516,24113,1.0,2026-09-18T12:34:10.283307
B2B,B2B,132,0.5474,24113,1.0,2026-09-18T12:34:10.283307
technical support,Technical Support,131,0.5433,24113,1.0,2026-09-18T12:34:10.283307
Hive,Hive,130,0.5391,24113,1.0,2026-09-18T12:34:10.283307
data management,Data Management,130,0.5391,24113,1.0,2026-09-18T12:34:10.283307
Coordination,Coordination,130,0.5391,24113,1.0,2026-09-18T12:34:10.283307
International BPO,International BPO,129,0.535,24113,1.0,2026-09-18T12:34:10.283307
Tally ERP,Tally ERP,129,0.535,24113,1.0,2026-09-18T12:34:10.283307
Supply Chain,Supply Chain,129,0.535,24113,1.0,2026-09-18T12:34:10.283307
API,API,129,0.535,24113,1.0,2026-09-18T12:34:10.283307
Risk management,Risk management,128,0.5308,24113,1.0,2026-09-18T12:34:10.283307
Bootstrap,Bootstrap,128,0.5308,24113,1.0,2026-09-18T12:34:10.283307
Servicenow,Servicenow,128,0.5308,24113,1.0,2026-09-18T12:34:10.283307
Photoshop,Photoshop,128,0.5308,24113,1.0,2026-09-18T12:34:10.283307
Manual Testing,Manual Testing,127,0.5267,24113,1.0,2026-09-18T12:34:10.283307
Quality,Quality,127,0.5267,24113,1.0,2026-09-18T12:34:10.283307
Corporate,Corporate,127,0.5267,24113,1.0,2026-09-18T12:34:10.283307
Scrum,Scrum,126,0.5225,24113,1.0,2026-09-18T12:34:10.283307
Voice,Voice,126,0.5225,24113,1.0,2026-09-18T12:34:10.283307
Pyspark,Pyspark,126,0.5225,24113,1.0,2026-09-18T12:34:10.283307
Direct Sales,Direct Sales,126,0.5225,24113,1.0,2026-09-18T12:34:10.283307
Maintenance,Maintenance,125,0.5184,24113,1.0,2026-09-18T12:34:10.283307
MySQL,MySQL,125,0.5184,24113,1.0,2026-09-18T12:34:10.283307
pharmaceutical,Pharmaceutical,124,0.5142,24113,1.0,2026-09-18T12:34:10.283307
Software testing,Software testing,123,0.5101,24113,1.0,2026-09-18T12:34:10.283307
dbms,Dbms,122,0.506,24113,1.0,2026-09-18T12:34:10.283307
GIT,GIT,122,0.506,24113,1.0,2026-09-18T12:34:10.283307
Relationship management,Relationship management,122,0.506,24113,1.0,2026-09-18T12:34:10.283307
Usage,Usage,122,0.506,24113,1.0,2026-09-18T12:34:10.283307
Convincing Power,Convincing Power,122,0.506,24113,1.0,2026-09-18T12:34:10.283307
Acquisition,Acquisition,121,0.5018,24113,1.0,2026-09-18T12:34:10.283307
Target Achievement,Target Achievement,120,0.4977,24113,1.0,2026-09-18T12:34:10.283307
Data management,Data management,120,0.4977,24113,1.0,2026-09-18T12:34:10.283307
jsp,Jsp,120,0.4977,24113,1.0,2026-09-18T12:34:10.283307
Bpo Voice,Bpo Voice,119,0.4935,24113,1.0,2026-09-18T12:34:10.283307
Git,Git,119,0.4935,24113,1.0,2026-09-18T12:34:10.283307
Handling,Handling,118,0.4894,24113,1.0,2026-09-18T12:34:10.283307
Postgresql,Postgresql,117,0.4852,24113,1.0,2026-09-18T12:34:10.283307
performance tuning,Performance Tuning,117,0.4852,24113,1.0,2026-09-18T12:34:10.283307
Cross Selling,Cross Selling,116,0.4811,24113,1.0,2026-09-18T12:34:10.283307
Reporting,Reporting,116,0.4811,24113,1.0,2026-09-18T12:34:10.283307
Inbound Calls,Inbound Calls,116,0.4811,24113,1.0,2026-09-18T12:34:10.283307
J2Ee,J2Ee,114,0.4728,24113,1.0,2026-09-18T12:34:10.283307
Presales,Presales,113,0.4686,24113,1.0,2026-09-18T12:34:10.283307
Kafka,Kafka,113,0.4686,24113,1.0,2026-09-18T12:34:10.283307
Change management,Change management,113,0.4686,24113,1.0,2026-09-18T12:34:10.283307
Quality Assurance,Quality Assurance,113,0.4686,24113,1.0,2026-09-18T12:34:10.283307
Problem Solving,Problem Solving,112,0.4645,24113,1.0,2026-09-18T12:34:10.283307
Construction,Construction,112,0.4645,24113,1.0,2026-09-18T12:34:10.283307
Customer Handling,Customer Handling,112,0.4645,24113,1.0,2026-09-18T12:34:10.283307
Product management,Product management,111,0.4603,24113,1.0,2026-09-18T12:34:10.283307
Scheduling,Scheduling,110,0.4562,24113,1.0,2026-09-18T12:34:10.283307
github,Github,110,0.4562,24113,1.0,2026-09-18T12:34:10.283307
.Net Core,Net Core,109,0.452,24113,1.0,2026-09-18T12:34:10.283307
Unix,Unix,109,0.452,24113,1.0,2026-09-18T12:34:10.283307
Client Relationship Management,Client Relationship Management,109,0.452,24113,1.0,2026-09-18T12:34:10.283307
Office,Office,109,0.452,24113,1.0,2026-09-18T12:34:10.283307
End To End Recruitment,End To End Recruitment,108,0.4479,24113,1.0,2026-09-18T12:34:10.283307
Snowflake,Snowflake,108,0.4479,24113,1.0,2026-09-18T12:34:10.283307
Cyber Security,Cyber Security,107,0.4437,24113,1.0,2026-09-18T12:34:10.283307
Generation,Generation,107,0.4437,24113,1.0,2026-09-18T12:34:10.283307
algorithms,Algorithms,107,0.4437,24113,1.0,2026-09-18T12:34:10.283307
Inventory Management,Inventory Management,107,0.4437,24113,1.0,2026-09-18T12:34:10.283307
software development life cycle,Software Development Life Cycle,106,0.4396,24113,1.0,2026-09-18T12:34:10.283307
inbound,Inbound,106,0.4396,24113,1.0,2026-09-18T12:34:10.283307
Java Development,Java Development,106,0.4396,24113,1.0,2026-09-18T12:34:10.283307
Fluent English,Fluent English,105,0.4354,24113,1.0,2026-09-18T12:34:10.283307
Natural Language Processing,Natural Language Processing,105,0.4354,24113,1.0,2026-09-18T12:34:10.283307
International Call Center,International Call Center,105,0.4354,24113,1.0,2026-09-18T12:34:10.283307
ETL,ETL,104,0.4313,24113,1.0,2026-09-18T12:34:10.283307
Database Management,Database Management,104,0.4313,24113,1.0,2026-09-18T12:34:10.283307
technical leadership,Technical Leadership,104,0.4313,24113,1.0,2026-09-18T12:34:10.283307
HR,HR,103,0.4272,24113,1.0,2026-09-18T12:34:10.283307
Legal,Legal,103,0.4272,24113,1.0,2026-09-18T12:34:10.283307
Voice Support,Voice Support,103,0.4272,24113,1.0,2026-09-18T12:34:10.283307
corporate sales,Corporate Sales,102,0.423,24113,1.0,2026-09-18T12:34:10.283307
Advanced Excel,Advanced Excel,101,0.4189,24113,1.0,2026-09-18T12:34:10.283307
Focus,Focus,101,0.4189,24113,1.0,2026-09-18T12:34:10.283307
Solving Queries,Solving Queries,100,0.4147,24113,1.0,2026-09-18T12:34:10.283307
Social media,Social media,100,0.4147,24113,1.0,2026-09-18T12:34:10.283307
Real Estate Sales,Real Estate Sales,100,0.4147,24113,1.0,2026-09-18T12:34:10.283307
international bpo,International Bpo,100,0.4147,24113,1.0,2026-09-18T12:34:10.283307
PyTorch,PyTorch,100,0.4147,24113,1.0,2026-09-18T12:34:10.283307
Sheet Metal,Sheet Metal,99,0.4106,24113,1.0,2026-09-18T12:34:10.283307
Mechanical,Mechanical,98,0.4064,24113,1.0,2026-09-18T12:34:10.283307
Data Engineering,Data Engineering,98,0.4064,24113,1.0,2026-09-18T12:34:10.283307
distribution,Distribution,98,0.4064,24113,1.0,2026-09-18T12:34:10.283307
Counselling,Counselling,98,0.4064,24113,1.0,2026-09-18T12:34:10.283307
Heavy Fabrication,Heavy Fabrication,98,0.4064,24113,1.0,2026-09-18T12:34:10.283307
Blended Process,Blended Process,98,0.4064,24113,1.0,2026-09-18T12:34:10.283307
Process improvement,Process improvement,98,0.4064,24113,1.0,2026-09-18T12:34:10.283307
CRM,CRM,97,0.4023,24113,1.0,2026-09-18T12:34:10.283307
Outbound,Outbound,97,0.4023,24113,1.0,2026-09-18T12:34:10.283307
Assurance,Assurance,97,0.4023,24113,1.0,2026-09-18T12:34:10.283307
Revenue Generation,Revenue Generation,96,0.3981,24113,1.0,2026-09-18T12:34:10.283307
Real Estate,Real Estate,96,0.3981,24113,1.0,2026-09-18T12:34:10.283307
Internal Audit,Internal Audit,95,0.394,24113,1.0,2026-09-18T12:34:10.283307
Team management,Team management,94,0.3898,24113,1.0,2026-09-18T12:34:10.283307
employee relations,Employee Relations,94,0.3898,24113,1.0,2026-09-18T12:34:10.283307
management skills,Management Skills,94,0.3898,24113,1.0,2026-09-18T12:34:10.283307
Sales Management,Sales Management,94,0.3898,24113,1.0,2026-09-18T12:34:10.283307
Stakeholder management,Stakeholder management,93,0.3857,24113,1.0,2026-09-18T12:34:10.283307
Financial services,Financial services,93,0.3857,24113,1.0,2026-09-18T12:34:10.283307
Manager Quality Assurance,Manager Quality Assurance,93,0.3857,24113,1.0,2026-09-18T12:34:10.283307
US Process,US Process,93,0.3857,24113,1.0,2026-09-18T12:34:10.283307
Interpersonal skills,Interpersonal skills,93,0.3857,24113,1.0,2026-09-18T12:34:10.283307
Team,Team,93,0.3857,24113,1.0,2026-09-18T12:34:10.283307
JIRA,JIRA,93,0.3857,24113,1.0,2026-09-18T12:34:10.283307
CAD,CAD,93,0.3857,24113,1.0,2026-09-18T12:34:10.283307
Outbound Calling,Outbound Calling,92,0.3815,24113,1.0,2026-09-18T12:34:10.283307
Risk Assessment,Risk Assessment,92,0.3815,24113,1.0,2026-09-18T12:34:10.283307
Regression Testing,Regression Testing,91,0.3774,24113,1.0,2026-09-18T12:34:10.283307
Front end,Front end,91,0.3774,24113,1.0,2026-09-18T12:34:10.283307
Inbound Customer Service,Inbound Customer Service,91,0.3774,24113,1.0,2026-09-18T12:34:10.283307
MVC,MVC,91,0.3774,24113,1.0,2026-09-18T12:34:10.283307
packaging,Packaging,91,0.3774,24113,1.0,2026-09-18T12:34:10.283307
etl,Etl,91,0.3774,24113,1.0,2026-09-18T12:34:10.283307
cse,Cse,90,0.3732,24113,1.0,2026-09-18T12:34:10.283307
Workflow,Workflow,90,0.3732,24113,1.0,2026-09-18T12:34:10.283307
sap abap,Sap Abap,90,0.3732,24113,1.0,2026-09-18T12:34:10.283307
Welding,Welding,90,0.3732,24113,1.0,2026-09-18T12:34:10.283307
SEO,SEO,89,0.3691,24113,1.0,2026-09-18T12:34:10.283307
Costing,Costing,89,0.3691,24113,1.0,2026-09-18T12:34:10.283307
Claims,Claims,88,0.3649,24113,1.0,2026-09-18T12:34:10.283307
Interpersonal Skills,Interpersonal Skills,88,0.3649,24113,1.0,2026-09-18T12:34:10.283307
Regulatory,Regulatory,88,0.3649,24113,1.0,2026-09-18T12:34:10.283307
Control,Control,88,0.3649,24113,1.0,2026-09-18T12:34:10.283307
Payments,Payments,88,0.3649,24113,1.0,2026-09-18T12:34:10.283307
Customer satisfaction,Customer satisfaction,88,0.3649,24113,1.0,2026-09-18T12:34:10.283307
Customer Complaints,Customer Complaints,87,0.3608,24113,1.0,2026-09-18T12:34:10.283307
sap abap development,Sap Abap Development,87,0.3608,24113,1.0,2026-09-18T12:34:10.283307
Business Loan,Business Loan,86,0.3567,24113,1.0,2026-09-18T12:34:10.283307
Business development,Business development,85,0.3525,24113,1.0,2026-09-18T12:34:10.283307
sap s hana,Sap S Hana,85,0.3525,24113,1.0,2026-09-18T12:34:10.283307
Chat Process,Chat Process,84,0.3484,24113,1.0,2026-09-18T12:34:10.283307
terraform,Terraform,84,0.3484,24113,1.0,2026-09-18T12:34:10.283307
Warehouse,Warehouse,84,0.3484,24113,1.0,2026-09-18T12:34:10.283307
Statutory Compliance,Statutory Compliance,84,0.3484,24113,1.0,2026-09-18T12:34:10.283307
agile methodology,Agile Methodology,84,0.3484,24113,1.0,2026-09-18T12:34:10.283307
Content Editing,Content Editing,84,0.3484,24113,1.0,2026-09-18T12:34:10.283307
Cross Sales,Cross Sales,84,0.3484,24113,1.0,2026-09-18T12:34:10.283307
Electricals,Electricals,83,0.3442,24113,1.0,2026-09-18T12:34:10.283307
Banking Process,Banking Process,83,0.3442,24113,1.0,2026-09-18T12:34:10.283307
Google Analytics,Google Analytics,83,0.3442,24113,1.0,2026-09-18T12:34:10.283307
C,C,83,0.3442,24113,1.0,2026-09-18T12:34:10.283307
International,International,83,0.3442,24113,1.0,2026-09-18T12:34:10.283307
Tableau,Tableau,82,0.3401,24113,1.0,2026-09-18T12:34:10.283307
